Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Jul-22,02:49,01:10,05:27,09:24,10:36,04:45,06:41
,02-Jul-22,02:50,01:10,05:27,09:24,10:36,04:45,06:41
,03-Jul-22,02:51,01:10,05:27,09:23,10:35,04:46,06:41
,04-Jul-22,02:53,01:10,05:27,09:23,10:34,04:47,06:41
,05-Jul-22,02:54,01:10,05:27,09:22,10:33,04:48,06:40
,06-Jul-22,02:55,01:10,05:27,09:22,10:33,04:49,06:40
,07-Jul-22,02:57,01:11,05:26,09:21,10:31,04:50,06:40
,08-Jul-22,02:58,01:11,05:26,09:21,10:31,04:51,06:40
,09-Jul-22,02:59,01:11,05:26,09:20,10:30,04:51,06:39
,10-Jul-22,03:00,01:11,05:26,09:19,10:28,04:52,06:39
,11-Jul-22,03:02,01:11,05:26,09:18,10:27,04:54,06:39
,12-Jul-22,03:04,01:11,05:26,09:17,10:26,04:55,06:38
,13-Jul-22,03:05,01:11,05:25,09:17,10:25,04:56,06:38
,14-Jul-22,03:07,01:12,05:25,09:16,10:24,04:57,06:37
,15-Jul-22,03:08,01:12,05:25,09:15,10:23,04:58,06:37
,16-Jul-22,03:09,01:12,05:25,09:14,10:21,04:59,06:36
,17-Jul-22,03:11,01:12,05:24,09:12,10:19,05:00,06:36
,18-Jul-22,03:13,01:12,05:24,09:11,10:18,05:02,06:35
,19-Jul-22,03:15,01:12,05:24,09:10,10:16,05:03,06:35
,20-Jul-22,03:16,01:12,05:23,09:09,10:15,05:04,06:34
,21-Jul-22,03:18,01:12,05:23,09:08,10:14,05:06,06:33
,22-Jul-22,03:20,01:12,05:22,09:07,10:12,05:07,06:33
,23-Jul-22,03:21,01:12,05:22,09:05,10:10,05:08,06:32
,24-Jul-22,03:24,01:12,05:21,09:04,10:09,05:10,06:31
,25-Jul-22,03:25,01:12,05:21,09:02,10:06,05:11,06:30
,26-Jul-22,03:27,01:12,05:20,09:01,10:05,05:12,06:30
,27-Jul-22,03:29,01:12,05:20,09:00,10:04,05:14,06:29
,28-Jul-22,03:31,01:12,05:19,08:58,10:01,05:15,06:28
,29-Jul-22,03:33,01:12,05:19,08:57,10:00,05:17,06:27
,30-Jul-22,03:35,01:12,05:18,08:55,09:58,05:18,06:26
,31-Jul-22,03:37,01:12,05:17,08:53,09:56,05:20,06:25
