Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Jun-23,2:52,1:03,5:18,9:11,10:27,4:46,6:31
,02-Jun-23,2:51,1:04,5:19,9:12,10:29,4:46,6:32
,03-Jun-23,2:50,1:04,5:19,9:13,10:30,4:45,6:33
,04-Jun-23,2:48,1:04,5:20,9:14,10:31,4:44,6:33
,05-Jun-23,2:48,1:04,5:20,9:15,10:33,4:44,6:34
,06-Jun-23,2:46,1:04,5:21,9:16,10:34,4:43,6:34
,07-Jun-23,2:45,1:04,5:21,9:17,10:35,4:42,6:35
,08-Jun-23,2:44,1:05,5:21,9:18,10:36,4:42,6:35
,09-Jun-23,2:44,1:05,5:22,9:19,10:38,4:42,6:36
,10-Jun-23,2:42,1:05,5:22,9:19,10:38,4:41,6:36
,11-Jun-23,2:42,1:05,5:23,9:20,10:40,4:41,6:37
,12-Jun-23,2:41,1:05,5:23,9:21,10:41,4:41,6:37
,13-Jun-23,2:39,1:06,5:23,9:21,10:42,4:40,6:38
,14-Jun-23,2:39,1:06,5:24,9:22,10:43,4:40,6:38
,15-Jun-23,2:39,1:06,5:24,9:22,10:43,4:40,6:39
,16-Jun-23,2:39,1:06,5:24,9:23,10:43,4:40,6:39
,17-Jun-23,2:39,1:07,5:24,9:23,10:43,4:40,6:39
,18-Jun-23,2:39,1:07,5:25,9:24,10:43,4:40,6:40
,19-Jun-23,2:39,1:07,5:25,9:24,10:43,4:40,6:40
,20-Jun-23,2:40,1:07,5:25,9:24,10:43,4:40,6:40
,21-Jun-23,2:40,1:07,5:25,9:25,10:43,4:40,6:40
,22-Jun-23,2:40,1:08,5:26,9:25,10:42,4:40,6:40
,23-Jun-23,2:42,1:08,5:26,9:25,10:42,4:41,6:41
,24-Jun-23,2:42,1:08,5:26,9:25,10:41,4:41,6:41
,25-Jun-23,2:42,1:08,5:26,9:25,10:41,4:41,6:41
,26-Jun-23,2:44,1:09,5:26,9:25,10:41,4:42,6:41
,27-Jun-23,2:44,1:09,5:26,9:25,10:40,4:42,6:41
,28-Jun-23,2:46,1:09,5:26,9:25,10:40,4:43,6:41
,29-Jun-23,2:46,1:09,5:27,9:25,10:39,4:43,6:41
,30-Jun-23,2:47,1:09,5:27,9:24,10:37,4:44,6:41
