Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Mar-22,05:06,12:18,03:04,05:44,07:10,06:43,03:49
,02-Mar-22,05:04,12:18,03:06,05:46,07:12,06:41,03:50
,03-Mar-22,05:02,12:18,03:07,05:47,07:12,06:39,03:52
,04-Mar-22,05:00,12:17,03:08,05:49,07:14,06:37,03:53
,05-Mar-22,04:57,12:17,03:09,05:51,07:15,06:34,03:55
,06-Mar-22,04:55,12:17,03:11,05:53,07:17,06:32,03:56
,07-Mar-22,04:53,12:17,03:12,05:54,07:17,06:30,03:58
,08-Mar-22,04:51,12:16,03:13,05:56,07:19,06:28,03:59
,09-Mar-22,04:48,12:16,03:14,05:58,07:20,06:25,04:01
,10-Mar-22,04:46,12:16,03:15,06:00,07:22,06:23,04:02
,11-Mar-22,04:44,12:16,03:16,06:01,07:23,06:21,04:04
,12-Mar-22,04:42,12:15,03:18,06:03,07:25,06:19,04:05
,13-Mar-22,04:40,12:15,03:19,06:05,07:26,06:17,04:06
,14-Mar-22,04:37,12:15,03:20,06:06,07:27,06:14,04:08
,15-Mar-22,04:35,12:15,03:21,06:08,07:29,06:12,04:09
,16-Mar-22,04:33,12:14,03:22,06:10,07:31,06:10,04:11
,17-Mar-22,04:30,12:14,03:23,06:12,07:32,06:07,04:12
,18-Mar-22,04:28,12:14,03:24,06:13,07:33,06:05,04:13
,19-Mar-22,04:26,12:13,03:25,06:15,07:35,06:03,04:15
,20-Mar-22,04:25,12:13,03:26,06:17,07:37,06:01,04:16
,21-Mar-22,04:22,12:13,03:27,06:18,07:37,05:58,04:17
,22-Mar-22,04:21,12:13,03:28,06:20,07:39,05:56,04:19
,23-Mar-22,04:19,12:12,03:29,06:22,07:41,05:54,04:20
,24-Mar-22,04:16,12:12,03:30,06:23,07:42,05:51,04:21
,25-Mar-22,04:14,12:12,03:31,06:25,07:43,05:49,04:23
,26-Mar-22,04:13,12:11,03:32,06:27,07:45,05:47,04:24
,27-Mar-22,05:11,01:11,04:33,07:28,08:46,06:45,05:25
,28-Mar-22,05:09,01:11,04:34,07:30,08:48,06:42,05:26
,29-Mar-22,05:07,01:10,04:35,07:32,08:49,06:40,05:28
,30-Mar-22,05:05,01:10,04:36,07:33,08:50,06:38,05:29
,31-Mar-22,05:04,01:10,04:37,07:35,08:52,06:36,05:30
