Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-May-23,3:52,1:03,5:01,8:26,9:37,5:30,6:05
,02-May-23,3:50,1:03,5:01,8:28,9:39,5:28,6:06
,03-May-23,3:47,1:03,5:02,8:30,9:41,5:26,6:07
,04-May-23,3:46,1:02,5:03,8:31,9:42,5:25,6:08
,05-May-23,3:43,1:02,5:03,8:33,9:44,5:23,6:09
,06-May-23,3:41,1:02,5:04,8:35,9:46,5:21,6:10
,07-May-23,3:38,1:02,5:04,8:36,9:47,5:19,6:11
,08-May-23,3:37,1:02,5:05,8:38,9:49,5:18,6:12
,09-May-23,3:34,1:02,5:06,8:39,9:50,5:16,6:13
,10-May-23,3:32,1:02,5:06,8:41,9:52,5:14,6:13
,11-May-23,3:30,1:02,5:07,8:42,9:53,5:13,6:14
,12-May-23,3:28,1:02,5:08,8:44,9:55,5:11,6:15
,13-May-23,3:25,1:02,5:08,8:46,9:56,5:09,6:16
,14-May-23,3:24,1:02,5:09,8:47,9:57,5:08,6:17
,15-May-23,3:21,1:02,5:09,8:49,9:59,5:06,6:18
,16-May-23,3:20,1:02,5:10,8:50,10:01,5:05,6:19
,17-May-23,3:17,1:02,5:11,8:52,10:03,5:03,6:20
,18-May-23,3:16,1:02,5:11,8:53,10:04,5:02,6:21
,19-May-23,3:14,1:02,5:12,8:55,10:07,5:01,6:21
,20-May-23,3:12,1:02,5:12,8:56,10:08,4:59,6:22
,21-May-23,3:10,1:02,5:13,8:57,10:09,4:58,6:23
,22-May-23,3:09,1:02,5:13,8:59,10:12,4:57,6:24
,23-May-23,3:07,1:02,5:14,9:00,10:13,4:56,6:25
,24-May-23,3:04,1:02,5:14,9:01,10:14,4:54,6:26
,25-May-23,3:02,1:03,5:15,9:03,10:17,4:53,6:26
,26-May-23,3:01,1:03,5:15,9:04,10:18,4:52,6:27
,27-May-23,2:59,1:03,5:16,9:05,10:19,4:51,6:28
,28-May-23,2:58,1:03,5:16,9:07,10:22,4:50,6:29
,29-May-23,2:56,1:03,5:17,9:08,10:23,4:49,6:29
,30-May-23,2:55,1:03,5:17,9:09,10:24,4:48,6:30
,31-May-23,2:53,1:03,5:18,9:10,10:26,4:47,6:31
