Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Nov-22,05:14,11:49,02:06,04:37,06:05,06:51,02:45
,02-Nov-22,05:16,11:49,02:05,04:35,06:03,06:53,02:43
,03-Nov-22,05:18,11:49,02:04,04:33,06:02,06:55,02:42
,04-Nov-22,05:18,11:49,02:02,04:31,06:00,06:56,02:40
,05-Nov-22,05:20,11:49,02:01,04:30,06:00,06:58,02:38
,06-Nov-22,05:22,11:49,02:00,04:28,05:58,07:00,02:37
,07-Nov-22,05:23,11:49,01:58,04:26,05:57,07:02,02:35
,08-Nov-22,05:24,11:49,01:57,04:25,05:56,07:03,02:34
,09-Nov-22,05:26,11:49,01:56,04:23,05:55,07:05,02:32
,10-Nov-22,05:27,11:50,01:55,04:22,05:54,07:07,02:31
,11-Nov-22,05:29,11:50,01:53,04:20,05:52,07:09,02:29
,12-Nov-22,05:30,11:50,01:52,04:19,05:51,07:10,02:28
,13-Nov-22,05:31,11:50,01:51,04:17,05:50,07:12,02:27
,14-Nov-22,05:33,11:50,01:50,04:16,05:49,07:14,02:25
,15-Nov-22,05:34,11:50,01:49,04:14,05:47,07:15,02:24
,16-Nov-22,05:35,11:50,01:48,04:13,05:46,07:17,02:23
,17-Nov-22,05:37,11:51,01:47,04:12,05:46,07:19,02:22
,18-Nov-22,05:39,11:51,01:46,04:10,05:44,07:21,02:20
,19-Nov-22,05:40,11:51,01:45,04:09,05:43,07:22,02:19
,20-Nov-22,05:42,11:51,01:44,04:08,05:42,07:24,02:18
,21-Nov-22,05:44,11:51,01:44,04:07,05:42,07:26,02:17
,22-Nov-22,05:45,11:52,01:43,04:06,05:41,07:27,02:16
,23-Nov-22,05:47,11:52,01:42,04:05,05:40,07:29,02:15
,24-Nov-22,05:48,11:52,01:41,04:04,05:39,07:30,02:14
,25-Nov-22,05:50,11:53,01:41,04:03,05:39,07:32,02:13
,26-Nov-22,05:51,11:53,01:40,04:02,05:38,07:33,02:12
,27-Nov-22,05:53,11:53,01:39,04:01,05:37,07:35,02:12
,28-Nov-22,05:54,11:54,01:39,04:00,05:36,07:36,02:11
,29-Nov-22,05:56,11:54,01:38,04:00,05:36,07:38,02:10
,30-Nov-22,05:57,11:54,01:38,03:59,05:36,07:39,02:10
