Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Oct-22,05:30,12:55,03:56,06:42,08:00,06:58,04:44
,02-Oct-22,05:32,12:55,03:55,06:39,07:57,07:00,04:42
,03-Oct-22,05:33,12:55,03:53,06:37,07:56,07:01,04:40
,04-Oct-22,05:35,12:54,03:51,06:35,07:54,07:03,04:38
,05-Oct-22,05:36,12:54,03:50,06:33,07:52,07:05,04:36
,06-Oct-22,05:37,12:54,03:48,06:30,07:49,07:06,04:34
,07-Oct-22,05:39,12:53,03:46,06:28,07:49,07:08,04:32
,08-Oct-22,05:40,12:53,03:45,06:26,07:47,07:10,04:30
,09-Oct-22,05:41,12:53,03:43,06:24,07:45,07:11,04:28
,10-Oct-22,05:43,12:53,03:41,06:21,07:42,07:13,04:26
,11-Oct-22,05:44,12:52,03:40,06:19,07:40,07:15,04:24
,12-Oct-22,05:45,12:52,03:38,06:17,07:38,07:16,04:22
,13-Oct-22,05:47,12:52,03:36,06:15,07:38,07:18,04:20
,14-Oct-22,05:48,12:52,03:35,06:13,07:36,07:20,04:18
,15-Oct-22,05:49,12:51,03:33,06:11,07:34,07:21,04:16
,16-Oct-22,05:51,12:51,03:31,06:08,07:31,07:23,04:14
,17-Oct-22,05:52,12:51,03:30,06:06,07:29,07:25,04:12
,18-Oct-22,05:54,12:51,03:28,06:04,07:27,07:27,04:10
,19-Oct-22,05:55,12:51,03:26,06:02,07:25,07:28,04:08
,20-Oct-22,05:57,12:50,03:25,06:00,07:23,07:30,04:07
,21-Oct-22,05:58,12:50,03:23,05:58,07:23,07:32,04:05
,22-Oct-22,05:59,12:50,03:21,05:56,07:21,07:33,04:03
,23-Oct-22,06:00,12:50,03:20,05:54,07:19,07:35,04:01
,24-Oct-22,06:02,12:50,03:18,05:52,07:17,07:37,03:59
,25-Oct-22,06:04,12:50,03:17,05:50,07:17,07:39,03:57
,26-Oct-22,06:04,12:50,03:15,05:48,07:15,07:40,03:55
,27-Oct-22,06:06,12:50,03:14,05:46,07:13,07:42,03:54
,28-Oct-22,06:08,12:49,03:12,05:44,07:11,07:44,03:52
,29-Oct-22,06:09,12:49,03:11,05:42,07:09,07:46,03:50
,30-Oct-22,05:10,11:49,02:09,04:40,06:07,06:47,02:48
,31-Oct-22,05:12,11:49,02:08,04:39,06:06,06:49,02:47
