Day,DATE,Fajr Begin,Zuhr Begin,Asr 1st Mithl,Maghrib Begin,Isha Begin,Sunrise,Asr 2nd Mithl
,01-Sep-22,04:38,01:06,04:44,07:50,09:01,06:10,05:41
,02-Sep-22,04:40,01:05,04:42,07:48,08:59,06:12,05:39
,03-Sep-22,04:41,01:05,04:41,07:46,08:57,06:13,05:37
,04-Sep-22,04:43,01:05,04:39,07:43,08:55,06:15,05:35
,05-Sep-22,04:44,01:04,04:38,07:41,08:53,06:16,05:34
,06-Sep-22,04:46,01:04,04:37,07:39,08:51,06:18,05:32
,07-Sep-22,04:48,01:04,04:35,07:37,08:50,06:20,05:30
,08-Sep-22,04:49,01:03,04:34,07:34,08:47,06:21,05:28
,09-Sep-22,04:51,01:03,04:32,07:32,08:45,06:23,05:26
,10-Sep-22,04:52,01:03,04:31,07:30,08:43,06:24,05:25
,11-Sep-22,04:54,01:02,04:29,07:28,08:42,06:26,05:23
,12-Sep-22,04:56,01:02,04:28,07:25,08:39,06:28,05:21
,13-Sep-22,04:57,01:02,04:26,07:23,08:37,06:29,05:19
,14-Sep-22,04:59,01:01,04:24,07:21,08:35,06:31,05:17
,15-Sep-22,05:00,01:01,04:23,07:18,08:33,06:32,05:15
,16-Sep-22,05:03,01:01,04:21,07:16,08:31,06:34,05:13
,17-Sep-22,05:05,01:00,04:20,07:14,08:29,06:36,05:11
,18-Sep-22,05:06,01:00,04:18,07:11,08:26,06:37,05:09
,19-Sep-22,05:09,12:59,04:16,07:09,08:24,06:39,05:07
,20-Sep-22,05:10,12:59,04:15,07:07,08:22,06:40,05:06
,21-Sep-22,05:12,12:59,04:13,07:05,08:21,06:42,05:04
,22-Sep-22,05:15,12:58,04:12,07:02,08:18,06:44,05:02
,23-Sep-22,05:16,12:58,04:10,07:00,08:16,06:45,05:00
,24-Sep-22,05:18,12:58,04:08,06:58,08:14,06:47,04:58
,25-Sep-22,05:20,12:57,04:07,06:55,08:12,06:48,04:56
,26-Sep-22,05:22,12:57,04:05,06:53,08:10,06:50,04:54
,27-Sep-22,05:24,12:57,04:03,06:51,08:08,06:52,04:52
,28-Sep-22,05:26,12:56,04:02,06:48,08:05,06:53,04:50
,29-Sep-22,05:28,12:56,04:00,06:46,08:03,06:55,04:48
,30-Sep-22,05:29,12:56,03:58,06:44,08:01,06:56,04:46
