Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Jan-22,07:15,13:00,15:00,16:10,19:45
,02-Jan-22,07:15,13:00,15:00,16:12,19:45
,03-Jan-22,07:15,13:00,15:00,16:13,19:45
,04-Jan-22,07:15,13:00,15:00,16:14,19:45
,05-Jan-22,07:15,13:00,15:00,16:15,19:45
,06-Jan-22,07:15,13:00,15:00,16:16,19:45
,07-Jan-22,07:15,13:00,15:00,16:18,19:45
,08-Jan-22,07:15,13:00,15:00,16:19,19:45
,09-Jan-22,07:15,13:00,15:00,16:20,19:45
,10-Jan-22,07:15,13:00,15:00,16:22,19:45
,11-Jan-22,07:15,13:00,15:00,16:23,19:45
,12-Jan-22,07:15,13:00,15:00,16:25,19:45
,13-Jan-22,07:15,13:00,15:00,16:26,19:45
,14-Jan-22,07:15,13:00,15:00,16:28,19:45
,15-Jan-22,07:15,13:15,15:15,16:29,19:45
,16-Jan-22,07:15,13:15,15:15,16:31,19:45
,17-Jan-22,07:15,13:15,15:15,16:32,19:45
,18-Jan-22,07:15,13:15,15:15,16:34,19:45
,19-Jan-22,07:15,13:15,15:15,16:36,19:45
,20-Jan-22,07:15,13:15,15:15,16:37,19:45
,21-Jan-22,07:15,13:15,15:15,16:39,19:45
,22-Jan-22,07:00,13:15,15:30,16:41,19:45
,23-Jan-22,07:00,13:15,15:30,16:42,19:45
,24-Jan-22,07:00,13:15,15:30,16:44,19:45
,25-Jan-22,07:00,13:15,15:30,16:46,19:45
,26-Jan-22,07:00,13:15,15:30,16:48,19:45
,27-Jan-22,07:00,13:15,15:30,16:49,19:45
,28-Jan-22,07:00,13:15,15:30,16:51,19:45
,29-Jan-22,07:00,13:15,15:45,16:53,19:45
,30-Jan-22,07:00,13:15,15:45,16:55,19:45
,31-Jan-22,07:00,13:15,15:45,16:57,19:45
