Day,DATE,FAJR,Zohar,ASR,MAGHRIB,Esha
,01-Mar-22,06:00,13:15,16:30,17:49,19:45
,02-Mar-22,06:00,13:15,16:30,17:51,19:45
,03-Mar-22,06:00,13:15,16:30,17:53,19:45
,04-Mar-22,06:00,13:15,16:30,17:54,19:45
,05-Mar-22,05:45,13:15,16:30,17:56,19:45
,06-Mar-22,05:45,13:15,16:30,17:58,19:45
,07-Mar-22,05:45,13:15,16:30,18:00,19:45
,08-Mar-22,05:45,13:15,16:30,18:01,19:45
,09-Mar-22,05:45,13:15,16:30,18:03,19:45
,10-Mar-22,05:45,13:15,16:30,18:05,19:45
,11-Mar-22,05:45,13:15,16:30,18:07,19:45
,12-Mar-22,05:30,13:15,16:45,18:08,20:00
,13-Mar-22,05:30,13:15,16:45,18:10,20:00
,14-Mar-22,05:30,13:15,16:45,18:12,20:00
,15-Mar-22,05:30,13:15,16:45,18:13,20:00
,16-Mar-22,05:30,13:15,16:45,18:15,20:00
,17-Mar-22,05:30,13:15,16:45,18:17,20:00
,18-Mar-22,05:30,13:15,16:45,18:19,20:00
,19-Mar-22,05:15,13:15,16:45,18:20,20:15
,20-Mar-22,05:15,13:15,16:45,18:22,20:15
,21-Mar-22,05:15,13:15,16:45,18:24,20:15
,22-Mar-22,05:15,13:15,16:45,18:25,20:15
,23-Mar-22,05:15,13:15,16:45,18:27,20:15
,24-Mar-22,05:15,13:15,16:45,18:29,20:15
,25-Mar-22,05:15,13:15,16:45,18:30,20:15
,26-Mar-22,06:00,13:30,16:45,18:32,20:15
,27-Mar-22,06:00,13:30,18:00,19:34,21:15
,28-Mar-22,06:00,13:30,18:00,19:35,21:15
,29-Mar-22,06:00,13:30,18:00,19:37,21:15
,30-Mar-22,06:00,13:30,18:00,19:39,21:15
,31-Mar-22,06:00,13:30,18:00,19:40,21:15
