Day,DATE,FAJR,Zohar,ASR,MAGHRIB,ESHA
,01-Sep-23,05:30,13:30,18:00,19:55,21:15
,02-Sep-23,05:30,13:30,18:00,19:53,21:15
,03-Sep-23,05:30,13:30,18:00,19:51,21:15
,04-Sep-23,05:30,13:30,18:00,19:49,21:15
,05-Sep-23,05:30,13:30,18:00,19:46,21:15
,06-Sep-23,05:45,13:30,17:45,19:44,21:15
,07-Sep-23,05:45,13:30,17:45,19:42,21:15
,08-Sep-23,05:45,13:30,17:45,19:40,21:15
,09-Sep-23,05:45,13:30,17:45,19:37,21:15
,10-Sep-23,05:45,13:30,17:45,19:35,21:15
,11-Sep-23,05:45,13:30,17:45,19:33,21:15
,12-Sep-23,05:45,13:30,17:45,19:30,21:15
,13-Sep-23,05:45,13:30,17:30,19:28,21:00
,14-Sep-23,05:45,13:30,17:30,19:26,21:00
,15-Sep-23,05:45,13:30,17:30,19:23,21:00
,16-Sep-23,05:45,13:30,17:30,19:21,21:00
,17-Sep-23,05:45,13:30,17:30,19:19,21:00
,18-Sep-23,05:45,13:30,17:30,19:17,21:00
,19-Sep-23,05:45,13:30,17:30,19:14,21:00
,20-Sep-23,06:00,13:30,17:15,19:12,20:45
,21-Sep-23,06:00,13:30,17:15,19:10,20:45
,22-Sep-23,06:00,13:30,17:15,19:07,20:45
,23-Sep-23,06:00,13:30,17:15,19:05,20:45
,24-Sep-23,06:00,13:30,17:15,19:03,20:45
,25-Sep-23,06:00,13:30,17:15,19:00,20:45
,26-Sep-23,06:00,13:30,17:15,18:58,20:45
,27-Sep-23,06:15,13:30,17:15,18:56,20:30
,28-Sep-23,06:15,13:30,17:15,18:54,20:30
,29-Sep-23,06:15,13:30,17:15,18:51,20:30
,30-Sep-23,06:15,13:30,17:15,18:49,20:30
