id,Name,Address,Latitude,Longitude,url
1,Aberfeldy Islamic Cultural Centre,"36-38 Aberfeldy Street, London, E14 ONU",51.51340674,-0.005054263288,https://goo.gl/maps/WSewLSSRT8js9wtK8
2,Al Aqsa Masjid,"3 Thorne House, Launch Street, London, E14 3LU",51.49637303,-0.01243047924,https://goo.gl/maps/p8uWfFKzs5XHf2uQ9
3,Ashaadibi Masjid,"167 Cannon St Rd, London, E1 2LX",51.51397957,-0.06181783676,https://goo.gl/maps/8N7gcXTxqE9xYuyh9
4,Baitul Aman Mosque,"101 Braintree St, Bethnal Green, London, E2 0FT",51.52487641,-0.05291259288,https://goo.gl/maps/BgZfLVWyyDtXsA159
5,Baitul Islah Academy,"16B Blount Street, London, E14 7BZ",51.51447183,-0.0358918853,https://goo.gl/maps/7tPhL7yDQYhihqhc6
6,Baitul Mamur Masjid,"191 Roman Rd, Globe Town, London, E2 0QY",51.52936009,-0.04650651957,https://goo.gl/maps/T3UMLPeGWT4rzeoS9
7,BBC Masjid & Community Centre,"16 Toynbee Street, London, E1 7NR",51.51777688,-0.07460615506,https://goo.gl/maps/9osW1m8upTm2KU2G8
8,Bishops Way Mosque,"73 Bishops Way, Cambridge Heath, London, E2 9HF",51.53305125,-0.0542677366,https://goo.gl/maps/pc89aahELRh7tTqe7
9,Bow Central Mosque,"246 Bow Road, London, E3 3AP",51.52925432,-0.01455892895,https://goo.gl/maps/qTdBzNNif5nE4k2v6
10,Bow Common Lane Masjid,"208-210 Devons Road, London, E3 3PN",51.52191513,-0.01915013947,https://goo.gl/maps/xSJjvh37XEDDDzad9
11,Bow Muslim Community Centre,"515b-517 Roman Road, London, E3 5EL",51.53254607,-0.0317094006,https://goo.gl/maps/6KvQUwiPRDQ6cVU28
12,Brick Lane Jamme Masjid,"59 Brick Lane, London, E1 6QL",51.51954025,-0.07189501382,https://goo.gl/maps/47nKdarwjKuDTPJ3A
13,British Estate Masjid,"31 Merchant Street, Bow, London, E3 4PZ",51.52542981,-0.02619418198,https://goo.gl/maps/7d1ZG967JtLYoso6A
14,Bromley By Bow Masjid,"Powis Rd, London, E3 3HJ",51.52616108,-0.014352584,https://goo.gl/maps/4BYNcoR356h8nonS6
15,Burdett Estate Mosque,"Masjid Lane, London, E14 7UD",51.51699822,-0.02644601476,https://goo.gl/maps/PU8KN8BuKjGXkrh59
16,Burhan Uddin Mosque,"8 Buckfast St, Turin St, London, E2 6EY",51.52604305,-0.06612903431,https://goo.gl/maps/aftba8SQzt4RJgZa7
17,Collingwood Mosque,"4 Ashington House, Collingwood Street, London, E1 5RA",51.52321735,-0.05836130094,https://goo.gl/maps/BnM12HXGUpL8AFx76
18,Coventry Cross Mosque,"6 Broxbourne House, Devas Street, London, E3 3LJ",51.52293333,-0.01461007912,https://goo.gl/maps/41jaJVEmSqzC8Gk49
19,Darul Ummah Jamme Mosque,"56 Bigland Street, London, E1 2ND",51.51251182,-0.0582869955,https://goo.gl/maps/t96GLuJBvbRNTHoA9
20,Docklands Community Mosque,"111-113 Mellish Street, London, E14 8PJ",51.49679624,-0.02127621637,https://goo.gl/maps/AEBkt5ivA6d54odx5
21,Dorset Community Mosque,"Diss St, Bethnal Green, London, E2 7QX",51.53001714,-0.07238230804,https://goo.gl/maps/dGNtfQs64QW9jfWW7
22,East London Mosque,"92 Whitechapel Road, London, E1 1JQ",51.51757166,-0.06548708235,https://goo.gl/maps/DdMQ53yKaNDUUR1M9
23,Eastside Centre Masjid,"2-4 Boulcott St, London, E1 0HR",51.51253299,-0.04207807846,https://goo.gl/maps/DhCtHNeVXdDEQ2Ai8
24,Esha Atul Islam Mosque,"16 Ford Square, Damien Court, London, E1 2HS",51.51595565,-0.05654396888,https://goo.gl/maps/wNJrFk2kCmNZXahP9
25,Globe Town Mosque,"100 Roman Road, London, E2 0RN",51.52869157,-0.04821843951,https://goo.gl/maps/hwuYsiidzzx19cTp8
26,Hamlets Way Masjid,"97-101 Hamlets Way, Bow, London, E3 4TL",51.52335176,-0.03362084195,https://goo.gl/maps/oSB8VfS928GRkWyr5
27,Hifzul Qur'an and Islamic Centre,"304 Burdett Road, Limehouse, London, E14 7DQ",51.51503138,-0.02885774297,https://goo.gl/maps/gNKHUC2DLasjicc47
28,Hindgrove Centre Masjid,"162 Pigott Street, London, E14 7DW",51.51299327,-0.02547935131,https://goo.gl/maps/VFMuvuiQHQtdAyZm6
29,Lansbury Estate Masjid,"20 Alton Street. London, E14 6BZ",51.51513331,-0.01822684862,https://goo.gl/maps/N13u2BtTvvZFHbXG9
30,Limehouse Masjid,"304-306 Stocks Pl, London, E14 8AE",51.51014177,-0.02830659904,https://goo.gl/maps/iYS4LD5jxzRFJ4i78
31,Locksley Estate Mosque,"Lydbrook Place, London, E14 7TU",51.51390834,-0.03302752863,https://goo.gl/maps/uDNKLtTk4fMsbvj99
32,Madina Jamme Masjid,"248 Westferry Road, London, E14 3AG",51.48856283,-0.01947428283,https://goo.gl/maps/aZpR8g1NyNxChAjM8
33,Markazi Masjid,"9-11 Christian Street, London, E1 1SE",51.51166006,-0.06434334719,https://goo.gl/maps/KdC3h6tadtiC783J7
34,Mazahirul Uloom Masjid,"241-243 Mile End Road, London, E1 4A",51.52231152,-0.04440924182,https://goo.gl/maps/AxzKYMcFQG4z455EA
35,Mimbar Academy,"Unit D, The Old Smokehouse, 71 Smeed Rd, Bow, London, E3 2NE",51.53919667,-0.02422559545,https://goo.gl/maps/AjaJMpNaF75qNXmK9
36,Poplar Central Mosque,"253 East India Dock Road, London, E14 0EG",51.51149348,-0.00983350768,https://goo.gl/maps/3hNNi3ynvfaNHzNE7
37,Poplar Mosque & Community Centre,"6 Webber Path, Poplar, London, E14 0FZ",51.51102911,-0.009751529447,https://goo.gl/maps/A4gqYmuDnpU3uXVi6
38,Poplar Shahjalal Masjid,"25 Hale St, London, E14 0BF",51.50946517,-0.0175336695,https://goo.gl/maps/x7LXYPpQ513Fk9XZ8
39,Redcoat Community Centre & Mosque,"256 Stepney Way, London, E1 3DW",51.51676049,-0.04810487669,https://goo.gl/maps/e4Lnk6tvgo4cvKSUA
40,Shadwell Gardens TRA Masjid,"129 Shadwell Place, London, E1 2QL",51.51127421,-0.05599101509,https://goo.gl/maps/C2v4VGVdA9nbmMcA7
41,Shadwell Jamme Masjid,"143-145 Martha St, London E1 2PG",51.51200447,-0.05563821722,https://goo.gl/maps/n4pwKwsW8PkGaSyQ8
42,Shahporan Masjid,"444 Hackney Rd, Bethnal Green, London, E2 6QL",51.53189661,-0.06031452235,https://goo.gl/maps/VG7MgpSossU7zx9t6
43,Shoreditch Masjid,"53-55 Redchurch Street, London, E2 7DJ",51.52451121,-0.07469531622,https://goo.gl/maps/gHBfVdjPz4Biwc9S6
44,Stepney Shahjalal Mosque,"81 Ducket Street, Shandy Park, London, E1 4TD",51.52012702,-0.04099274904,https://goo.gl/maps/D6b9DDkntBpjeZnHA
45,Teviot Community Masjid,"181 Teviot Street, Poplar London, E14 6PY",51.51880714,-0.0118015736,https://goo.gl/maps/KNaPxLEFCKxEjnDU7
46,Turners Road Masjid,"42 Turners Rd, London E3 4LE",51.51677758,-0.03186352299,https://goo.gl/maps/sETaFdaUmht7WfDS9
47,Wapping Noorani Masjid,"19 Prusom Street. London, E1W 3RR",51.50618967,-0.05655914748,https://goo.gl/maps/4Zeu51ngwsMWSMyB8
48,Weavers Fields Masjid,"3a, Railway Arch, Brady St, London, E1 5DT",51.52561251,-0.05603330636,https://goo.gl/maps/SthHW8jarZN1E8bh8
49,Westferry Community Masjid,"2 The Quarterdeck, London, E14 8SJ",51.49814366,-0.02459666575,https://goo.gl/maps/bsmeSbQDLtj4dnN4A
